Id;Label;Eccentricity;Closeness Centrality;Betweenness Centrality;Degree;Weighted Degree;Component ID;Modularity Class;Clustering Coefficient;Number of triangles;Eigenvector Centrality;PageRank;Authority;Hub
996;m134780;4.0;3.3897062490648846;0.0;1;6.0;0;4;0.0;0;0.005171630049623922;1.0880646955443406E-5;5.0532612E-6;5.0532612E-6
997;m134939;4.0;3.547304373846691;1043.035106105165;10;79.0;0;3;0.0;0;0.01060004372257008;3.170624682450068E-5;2.7792938E-5;2.7792938E-5
998;m134945;4.0;3.405466061543065;3666.43176631723;11;70.0;0;3;0.0;0;0.013341673559887596;3.209351955483831E-5;3.0319568E-5;3.0319568E-5
999;m134949;4.0;3.9058899805495986;0.0;1;7.0;0;5;0.0;0;0.0012409366900127756;9.325356725229203E-6;5.0532612E-6;5.0532612E-6
1000;m135010;4.0;3.9320233404817713;0.0;1;5.0;0;5;0.0;0;8.01835007329884E-4;9.046993365520159E-6;5.0532612E-6;5.0532612E-6
1001;m135032;4.0;3.348910278789088;290.6792673856985;2;14.0;0;4;0.0;0;0.00643908199079499;1.3973408078379536E-5;7.579892E-6;7.579892E-6
1002;m135034;4.0;3.8645952820308214;74.48507734007286;3;18.0;0;3;0.0;0;0.002017545170714563;1.3528872210200413E-5;1.01065225E-5;1.01065225E-5
1003;m135087;4.0;3.4243179891277244;372.9404655023905;2;4.0;0;2;0.0;0;0.005979360607857525;9.390203498841835E-6;7.579892E-6;7.579892E-6
1004;m135103;4.0;3.90279786544312;0.0;1;1.0;0;2;0.0;0;0.0012243657447735387;7.756361147630725E-6;5.0532612E-6;5.0532612E-6
1005;m135141;4.0;3.127574684554386;5664.079606495948;11;65.0;0;4;0.0;0;0.019762367319455475;3.079734562581655E-5;3.0319568E-5;3.0319568E-5
1006;m135160;4.0;3.2676175751832828;1602.753820465814;4;32.0;0;3;0.0;0;0.009783617686143132;2.0815707485562606E-5;1.2633153E-5;1.2633153E-5
1007;m135163;4.0;3.8568151214403272;0.0;1;6.0;0;3;0.0;0;0.0014551914994600647;9.93687491614809E-6;5.0532612E-6;5.0532612E-6
1008;m135183;4.0;3.9261383472146028;0.0;1;6.0;0;3;0.0;0;6.221730697241492E-4;1.0419399857929816E-5;5.0532612E-6;5.0532612E-6
1009;m135229;4.0;3.8896314398284373;0.0;1;9.0;0;4;0.0;0;0.001361714406817565;1.0155483908131082E-5;5.0532612E-6;5.0532612E-6
1010;m135291;4.0;3.926437584160391;0.0;1;5.0;0;4;0.0;0;9.656280512801506E-4;8.77159813009915E-6;5.0532612E-6;5.0532612E-6
1011;m135315;4.0;3.496533838711286;0.0;1;4.0;0;4;0.0;0;0.0043707010433324586;9.830789562429104E-6;5.0532612E-6;5.0532612E-6
1012;m135321;4.0;3.7808089372101144;69.47424798496304;5;26.0;0;4;0.0;0;0.004737405990625902;1.5063763447921941E-5;1.5159784E-5;1.5159784E-5
1013;m135338;4.0;3.189516732332552;12862.979802801327;40;304.0;0;5;0.0;0;0.04763030497574422;9.650049557533469E-5;1.0359186E-4;1.0359186E-4
1014;m135348;4.0;3.7654481073263177;0.0;1;5.0;0;4;0.0;0;0.0020256683224652732;1.071110043383653E-5;5.0532612E-6;5.0532612E-6
1015;m135356;4.0;3.2871677223081144;511.53196098653706;2;14.0;0;4;0.0;0;0.008021676741586221;1.4218342722790536E-5;7.579892E-6;7.579892E-6
1016;m135360;4.0;3.496533838711286;0.0;1;7.0;0;4;0.0;0;0.0043707010433324586;1.1593468761650367E-5;5.0532612E-6;5.0532612E-6
1017;m135486;4.0;3.861503166924343;0.0;1;6.0;0;2;0.0;0;0.001625785100840865;9.242090898597328E-6;5.0532612E-6;5.0532612E-6
1018;m135499;4.0;3.654431200438881;379.00495870345196;3;16.0;0;2;0.0;0;0.004844161268450854;1.3510987432040323E-5;1.01065225E-5;1.01065225E-5
1019;m135508;4.0;3.4719964091566506;236.59477888899838;2;11.0;0;4;0.0;0;0.0051725360506623425;1.2572351763962687E-5;7.579892E-6;7.579892E-6
1020;m135564;4.0;3.2963443219789537;743.9213626833298;4;32.0;0;4;0.0;0;0.010193121864753504;2.0399661493573753E-5;1.2633153E-5;1.2633153E-5
1021;m135597;4.0;3.8383621764500524;11.493987635757115;2;13.0;0;5;0.0;0;0.0026029981095929485;1.1338097255492822E-5;7.579892E-6;7.579892E-6
1022;m135624;4.0;3.772330557079447;30.316824350763785;2;12.0;0;2;0.0;0;0.003186395056481728;1.1363479718683769E-5;7.579892E-6;7.579892E-6
1023;m135641;4.0;3.836766246072515;21.182445240830514;2;11.0;0;5;0.0;0;0.00256199995809571;1.0996810697195945E-5;7.579892E-6;7.579892E-6
1024;m135653;4.0;3.596279487307366;173.73595851460448;3;6.0;0;2;0.0;0;0.006147377329580155;9.44263063794975E-6;1.01065225E-5;1.01065225E-5
